ISO3,country,L,M,H,lon,lat,cumscc,cumpop,id
JAM,Jamaica,0.0544907399663262,0.0889283631938303,0.140294300840782,-77.31482593,18.15694878,-0.00649631083880856,0.460466864432524,78
JOR,Jordan,0.160366776691571,0.307911165138544,0.526182745119701,36.77136104,31.24579091,0.00619357374180912,0.480738592127692,79
JPN,Japan,0.258349060492802,5.47549770416019,12.4659509186074,138.03089558,37.59230135,0.0822333411942506,0.576725389398645,80
KAZ,Kazakhstan,-1.53186099627289,-1.11779914510443,-0.708570199193824,67.29149357,48.15688067,-0.0754443072686237,0.0365954119749514,81
KEN,Kenya,0.358075409073582,0.606103021427448,0.961975869392123,37.79593973,0.59988022,-0.0989839482963873,0.199923771405734,82
KGZ,Kyrgyzstan,-0.0528003616058186,-0.0368320811699501,-0.0213952601475388,74.54165513,41.46221943,-0.114184507893887,0.0981947021655983,83
KHM,Cambodia,0.289602885658174,0.482757899916573,0.860659245999401,104.90694325,12.72004786,-0.00671563499199612,0.460091804936793,84
KOR,South Korea,-2.78421217528977,-1.00851612978345,0.957381043972351,127.83916086,36.38523983,-0.107552175604004,0.0727333730346241,85
KWT,Kuwait,6.02824442161917,10.8577861056406,20.9876287660792,47.58700459,29.33431262,0.962820092910678,0.999661176858935,86
LAO,Laos,0.140568399772913,0.231966640015919,0.384883738031267,103.73772412,18.50217433,-0.00237842854846641,0.467311964728537,87
LBN,Lebanon,-0.00154342500663808,0.0868994648656186,0.201828032309184,35.88016072,33.92306631,-0.0291178932041475,0.415202235227635,88
LBR,Liberia,0.025576066249289,0.0429762457225565,0.0713744662837844,-9.32207573,6.45278492,-0.110554784327661,0.1434962289725,89
LBY,Libya,0.947822235190843,1.71671376742509,3.01608832938748,18.00866169,27.03094495,0.709677846810642,0.985812673651819,90
LKA,Sri Lanka,0.84897564271611,1.38765877490124,2.34118704518268,80.70108238,7.61266509,0.336025638652504,0.805382209563303,91
LSO,Lesotho,-0.00388527905280979,-0.000191808643138628,0.00403583442884437,28.22723131,-29.58003188,-0.114228041140779,0.100051352469038,92
LTU,Lithuania,-0.228904005989984,-0.159620592154129,-0.0946273710665962,23.88719355,55.32610984,-0.098003006838803,0.0568828773569996,93
LUX,Luxembourg,-0.213846495676996,-0.124878172126608,-0.0305689646109399,6.07182201,49.76725361,-0.0281151946296109,0.00658192385154891,94
LVA,Latvia,-0.137113687658644,-0.0971106481939134,-0.0597246799106064,24.91235983,56.85085163,-0.0992542828742352,0.0583208258397478,95
